Date,Customer_Age,Customer_Gender,Country,Product_Category,Unit_Price,Color
2014-02-22,53,F,Germany,Accessories,22,Green
2015-06-14,53,F,Germany,Accessories,22,Blue
2020-06-14,53,F,Germany,Accessories,22,Blue
2022-10-22,53,M,Germany,Clothing,24,Red
2023-10-22,53,M,Germany,Clothing,24,Black
2017-09-02,53,M,Germany,Accessories,35,Black
2021-09-02,53,M,Germany,Accessories,35,Green
2021-06-14,53,F,Germany,Accessories,35,Blue
2016-06-14,53,F,Germany,Accessories,35,Red
2020-01-02,53,M,Germany,Accessories,35,Green
2015-01-02,53,M,Germany,Accessories,35,Green
2018-10-11,53,F,Germany,Accessories,35,Blue
2017-10-11,53,F,Germany,Accessories,35,Green
2023-12-02,53,F,Germany,Accessories,35,White
2014-12-02,53,F,Germany,Accessories,35,Green
2020-06-27,53,F,Germany,Accessories,35,Blue
2015-06-27,53,F,Germany,Accessories,35,Red
2018-10-09,53,F,Germany,Accessories,35,White
2017-10-09,53,F,Germany,Accessories,35,Blue
2018-06-11,53,F,Germany,Accessories,35,Red
2022-06-11,53,F,Germany,Accessories,35,Black
2016-04-17,53,F,Germany,Accessories,35,Green
2015-04-17,53,F,Germany,Accessories,35,Black
2021-11-20,53,F,Germany,Accessories,35,White
2016-11-20,53,F,Germany,Accessories,35,Green
2023-12-26,53,F,Germany,Accessories,35,Black
2017-12-26,53,F,Germany,Accessories,35,Blue
2021-09-02,53,M,Germany,Clothing,50,Blue
2013-09-02,53,M,Germany,Clothing,50,Blue
2014-09-15,53,M,Germany,Clothing,50,Black
2013-09-15,53,M,Germany,Clothing,50,Green
2019-04-04,53,F,Germany,Clothing,50,Black
2020-04-04,53,F,Germany,Clothing,50,Black
2013-06-14,53,F,Germany,Clothing,50,White
2014-06-14,53,F,Germany,Clothing,50,Black
2020-09-14,53,F,Germany,Clothing,54,Red
2023-09-14,53,F,Germany,Clothing,54,Red
2018-08-14,53,M,Germany,Clothing,54,Black
2018-08-14,53,M,Germany,Clothing,54,White
2022-02-22,53,F,Germany,Clothing,54,Green
2022-02-22,53,F,Germany,Clothing,54,Blue
2022-06-14,53,F,Germany,Clothing,54,White
2021-06-14,53,F,Germany,Clothing,54,Red
2020-07-20,53,F,Germany,Clothing,54,Blue
2021-07-20,53,F,Germany,Clothing,54,Red
2022-01-24,53,M,Germany,Bikes,2295,Black
2015-01-24,53,M,Germany,Bikes,2295,Red
2015-09-02,53,M,Germany,Bikes,2295,Black
2014-09-02,53,M,Germany,Bikes,2295,Green
2016-12-16,53,F,Germany,Bikes,769,White
2020-12-16,53,F,Germany,Bikes,769,Green
2014-01-02,53,M,Germany,Bikes,2295,Green
2020-01-02,53,M,Germany,Bikes,2295,Blue
2015-04-02,53,M,Germany,Bikes,2295,Blue
2015-04-02,53,M,Germany,Bikes,2295,Green
2018-06-11,53,M,Germany,Bikes,540,Green
2021-06-11,53,M,Germany,Bikes,540,Red
2013-01-23,53,F,Germany,Bikes,2295,Green
2013-01-23,53,F,Germany,Bikes,2295,Black
2014-06-11,53,F,Germany,Bikes,2295,Black
2021-06-11,53,F,Germany,Bikes,2295,Black
2013-02-22,53,F,Germany,Bikes,2295,Blue
2016-02-22,53,F,Germany,Bikes,2295,Red
2021-06-14,53,F,Germany,Bikes,2295,Green
2018-06-14,53,F,Germany,Bikes,2295,Blue
2020-09-15,53,M,Germany,Bikes,3578,Black
2019-09-15,53,M,Germany,Bikes,3578,Red
2017-02-08,53,F,Germany,Bikes,2443,Blue
2018-02-08,53,F,Germany,Bikes,2443,White
2023-06-14,53,F,Germany,Bikes,3578,Red
2018-06-14,53,F,Germany,Bikes,3578,Blue
2022-09-10,53,M,Germany,Bikes,2443,Black
2013-09-10,53,M,Germany,Bikes,2443,White
2019-07-07,53,M,Germany,Bikes,2443,Blue
2015-07-07,53,M,Germany,Bikes,2443,Blue
2013-09-26,53,F,Germany,Bikes,2443,Black
2018-09-26,53,F,Germany,Bikes,2443,White
2019-03-28,53,F,Germany,Bikes,1120,Red
2016-03-28,53,F,Germany,Bikes,1120,Green
2013-02-03,53,M,Germany,Bikes,1120,Black
2021-02-03,53,M,Germany,Bikes,1120,Red
2013-07-26,53,F,Germany,Bikes,2443,Black
2018-07-26,53,F,Germany,Bikes,2443,Black
2020-07-14,53,F,Germany,Clothing,70,Blue
2017-07-14,53,F,Germany,Clothing,70,Red
2014-10-11,53,F,Germany,Accessories,30,Blue
2017-10-11,53,F,Germany,Accessories,30,Black
2020-10-11,53,F,Germany,Accessories,30,Green
2020-10-11,53,F,Germany,Accessories,30,Blue
2014-12-02,53,F,Germany,Accessories,30,Blue
2014-12-02,53,F,Germany,Accessories,30,Red
2013-12-02,53,F,Germany,Accessories,30,Green
2023-12-02,53,F,Germany,Accessories,30,White
2016-12-15,53,M,Germany,Accessories,21,Green
2018-12-15,53,M,Germany,Accessories,21,White
2023-05-23,53,M,Germany,Bikes,1215,Black
2017-05-23,53,M,Germany,Bikes,1215,White
2014-10-22,53,M,Germany,Bikes,2384,Blue
2019-10-22,53,M,Germany,Bikes,2384,White
2013-10-09,53,F,Germany,Bikes,2384,Green
2018-10-09,53,F,Germany,Bikes,2384,Green
2023-01-30,53,F,Germany,Bikes,2384,Green
2023-01-30,53,F,Germany,Bikes,2384,Green
2020-12-16,53,F,Germany,Clothing,64,Green
2016-12-16,53,F,Germany,Clothing,64,Black
2016-09-19,52,F,Germany,Accessories,159,Green
2023-09-19,52,F,Germany,Accessories,159,Green
2018-10-26,52,M,Germany,Accessories,22,Green
2015-10-26,52,M,Germany,Accessories,22,Blue
2014-06-26,52,M,Germany,Accessories,22,Black
2013-06-26,52,M,Germany,Accessories,22,Green
2018-10-13,52,F,Germany,Clothing,24,Green
2015-10-13,52,F,Germany,Clothing,24,Red
2022-12-13,52,M,Germany,Accessories,35,Blue
2013-12-13,52,M,Germany,Accessories,35,Blue
2015-06-19,52,M,Germany,Accessories,35,Black
2023-06-19,52,M,Germany,Accessories,35,Red
2015-06-24,52,M,Germany,Accessories,35,Red
2014-06-24,52,M,Germany,Accessories,35,Black
2023-10-26,52,F,Germany,Accessories,35,Green
2022-10-26,52,F,Germany,Accessories,35,Blue
2020-12-01,52,F,Germany,Accessories,35,Red
2022-12-01,52,F,Germany,Accessories,35,Green
2016-10-13,52,F,Germany,Accessories,35,Blue
2018-10-13,52,F,Germany,Accessories,35,Red
2018-02-23,52,M,Germany,Accessories,35,Green
2014-02-23,52,M,Germany,Accessories,35,Red
2014-01-18,52,M,Germany,Accessories,35,White
2021-01-18,52,M,Germany,Accessories,35,Blue
2023-07-02,52,M,Germany,Accessories,35,Black
2021-07-02,52,M,Germany,Accessories,35,White
2020-07-09,52,M,Germany,Accessories,35,White
2021-07-09,52,M,Germany,Accessories,35,Red
2022-07-19,52,M,Germany,Accessories,35,Green
2015-07-19,52,M,Germany,Accessories,35,Black
2019-01-07,52,F,Germany,Accessories,55,White
2021-01-07,52,F,Germany,Accessories,55,Black
2014-10-26,52,F,Germany,Clothing,50,Green
2014-10-26,52,F,Germany,Clothing,50,Green
2013-02-08,52,M,Germany,Clothing,50,Red
2018-02-08,52,M,Germany,Clothing,50,Red
2019-07-19,52,M,Germany,Clothing,50,Green
2020-07-19,52,M,Germany,Clothing,50,Green
2022-10-13,52,F,Germany,Clothing,54,White
2021-10-13,52,F,Germany,Clothing,54,Green
2013-01-07,52,F,Germany,Clothing,54,Blue
2015-01-07,52,F,Germany,Clothing,54,Blue
2019-04-23,52,F,Germany,Clothing,54,Red
2023-04-23,52,F,Germany,Clothing,54,Black
2021-02-13,52,F,Germany,Bikes,2295,Red
2016-02-13,52,F,Germany,Bikes,2295,Red
2020-10-26,52,F,Germany,Bikes,2295,Green
2021-10-26,52,F,Germany,Bikes,2295,Black
2014-02-22,52,F,Germany,Bikes,2320,Green
2019-02-22,52,F,Germany,Bikes,2320,Black
2023-10-13,52,F,Germany,Bikes,2320,Blue
2018-10-13,52,F,Germany,Bikes,2320,Blue
2020-02-08,52,M,Germany,Bikes,2320,Red
2022-02-08,52,M,Germany,Bikes,2320,Blue
2015-06-24,52,M,Germany,Bikes,2295,Green
2021-06-24,52,M,Germany,Bikes,2295,Blue
2020-12-01,52,F,Germany,Bikes,2443,Black
2021-12-01,52,F,Germany,Bikes,2443,Red
2021-04-23,52,F,Germany,Bikes,1120,Red
2018-04-23,52,F,Germany,Bikes,1120,White
2016-03-14,52,M,Germany,Bikes,2443,White
2016-03-14,52,M,Germany,Bikes,2443,White
2018-09-19,52,F,Germany,Bikes,1120,White
2014-09-19,52,F,Germany,Bikes,1120,Green
2023-03-21,52,M,Germany,Clothing,70,Blue
2016-03-21,52,M,Germany,Clothing,70,Blue
2015-12-13,52,M,Germany,Accessories,21,White
2017-12-13,52,M,Germany,Accessories,21,Black
2016-12-13,52,M,Germany,Accessories,21,Black
2019-12-13,52,M,Germany,Accessories,21,Green
2013-06-19,52,M,Germany,Accessories,21,Green
2022-06-19,52,M,Germany,Accessories,21,Red
2019-08-26,52,M,Germany,Accessories,35,Blue
2015-08-26,52,M,Germany,Accessories,35,White
2013-08-26,52,M,Germany,Accessories,35,Blue
2023-08-26,52,M,Germany,Accessories,35,Red
2020-08-26,52,M,Germany,Accessories,35,Black
2018-08-26,52,M,Germany,Accessories,35,Black
2014-02-23,52,M,Germany,Accessories,35,Green
2019-02-23,52,M,Germany,Accessories,35,Blue
2014-02-23,52,M,Germany,Accessories,35,Blue
2021-02-23,52,M,Germany,Accessories,35,Black
2023-01-18,52,M,Germany,Accessories,21,Red
2020-01-18,52,M,Germany,Accessories,21,Red
2016-01-18,52,M,Germany,Accessories,21,Red
2013-01-18,52,M,Germany,Accessories,21,Black
2019-02-04,52,M,Germany,Accessories,21,White
2015-02-04,52,M,Germany,Accessories,21,White
2019-02-04,52,M,Germany,Accessories,21,White
2015-02-04,52,M,Germany,Accessories,21,White
2016-07-02,52,M,Germany,Accessories,21,Black
2019-07-02,52,M,Germany,Accessories,21,Blue
2014-07-09,52,M,Germany,Accessories,21,White
2023-07-09,52,M,Germany,Accessories,21,Green
2018-07-09,52,M,Germany,Accessories,21,Green
2018-07-09,52,M,Germany,Accessories,21,Blue
2015-07-16,52,M,Germany,Accessories,21,Blue
2018-07-16,52,M,Germany,Accessories,21,Red
2015-07-19,52,M,Germany,Accessories,21,Black
2022-07-19,52,M,Germany,Accessories,21,White
2016-07-19,52,M,Germany,Accessories,21,Black
2014-07-19,52,M,Germany,Accessories,21,Blue
2021-09-19,52,F,Germany,Accessories,25,White
2021-09-19,52,F,Germany,Accessories,25,Green
2023-09-19,52,F,Germany,Accessories,25,Blue
2015-09-19,52,F,Germany,Accessories,25,Black
2013-09-19,52,F,Germany,Accessories,25,Blue
2018-09-19,52,F,Germany,Accessories,25,Red
2020-05-12,52,F,Germany,Bikes,2384,Blue
2015-05-12,52,F,Germany,Bikes,2384,White
2015-06-13,52,F,Germany,Bikes,2384,Green
2019-06-13,52,F,Germany,Bikes,2384,Black
2019-02-04,52,M,Germany,Bikes,2384,Green
2020-02-04,52,M,Germany,Bikes,2384,White
2013-07-07,52,F,Germany,Clothing,64,White
2015-07-07,52,F,Germany,Clothing,64,Red
2019-04-27,51,M,Germany,Accessories,22,White
2013-04-27,51,M,Germany,Accessories,22,White
2016-11-28,51,M,Germany,Accessories,22,Blue
2014-11-28,51,M,Germany,Accessories,22,Blue
2021-01-08,51,F,Germany,Accessories,22,Blue
2015-01-08,51,F,Germany,Accessories,22,White
2019-06-15,51,F,Germany,Accessories,22,White
